0,1,2,3,4
3.1023892672385447,524.4670773542039,-468.2080639879513,-357.31028222780276,-249.73225357160885
1.6860855303275444,530.2360663543966,-488.3766197567279,-405.5276164179752,-324.44799411919337
1.7570597934779117,530.3424237963765,-487.6158634733261,-403.06986905152155,-320.36972704870567
2.6019281482479597,564.8801573173666,-511.3210757687914,-405.5544232207062,-302.54777265206553
2.269576122080507,509.5334711191925,-462.0157103408246,-368.1582750020939,-276.7057137655893
4.757644593046774,543.1902721585443,-472.50735350214933,-333.6518902647669,-199.9735789410597
2.2554203036629437,518.2934462249267,-470.51187925399404,-376.11894582333207,-284.1141341230493
3.6975604361478127,521.9528501868466,-460.76352305608134,-340.3245182335478,-223.87069669694583
5.053713232745613,503.8464086245732,-433.77110787272187,-296.29815687910883,-164.3624048431683
5.1808942017738735,565.173133970016,-489.9656432664209,-342.2880653776775,-200.26083872752753
5.342528425830129,522.135570628373,-448.8034531173031,-304.9716971216063,-166.99980590664154
1.8745887418429792,505.3243195694826,-462.2717487041119,-377.13631272800467,-293.97633387350345
5.43834442508551,533.3457558591768,-458.56649391857275,-311.8909272474752,-171.1792109896718
3.5815923368120153,518.2156416108529,-458.19802505823725,-340.0404167796413,-225.73901622673154
3.9252277478324857,512.5765513313132,-450.1391098278284,-327.32755331562294,-208.76083412781327
2.78418933762327,559.4603809171571,-504.3506940257464,-395.5798160165517,-289.7698481104635
2.8679718783305703,548.0929944801018,-492.7496567522966,-383.55667074261623,-277.4189672379441
6.259228453452621,555.2969347913181,-473.5174971917073,-313.28776791195173,-159.96033590412566
5.705769743012432,529.9952127036245,-453.68010645365734,-304.07998162033823,-160.755535951519
0.6693193169336501,525.9801830711871,-499.61375503729437,-447.22214166470553,-395.5200022679305
4.195704545236427,530.2262237795193,-464.5890701714512,-335.5222449719512,-210.99942895073238
2.8467716646681622,559.5413416304606,-503.8197170109531,-393.8582179493619,-286.9264660165046
2.504989080294685,547.0061256748792,-495.29047111696684,-393.16016708064853,-293.6865377623463
4.466005021096057,545.8556756602995,-477.1655390631695,-342.1371480160679,-211.95290390839574
5.188607050934411,549.6429035788522,-475.4403238637821,-329.77908832008984,-189.7849852457237
4.9341644773647735,543.3302014414222,-471.36161193800126,-330.0307389923354,-194.07862211605212
4.001863462436637,504.6694931820448,-442.1315182403837,-319.1611869912367,-200.52534452188618
2.368644542592763,512.470150510093,-463.7978085081252,-367.68354693734165,-274.08211075358304
4.641458592087031,565.1158887046611,-493.8670551998208,-353.8139332343315,-218.79616785359724
1.1521407405424722,545.2520053684419,-510.0965083012593,-440.37635909567564,-371.85387738367035
